num_of_samples,random_num,cas_number,pred_value,real_value,error_value
10,0,108-38-3,-5.851391381,-6.1,0.248608619
10,1,564-25-0,-8.646389301,-5.3,3.346389301
10,2,1698-60-8,-6.520000032,-7,0.479999968
10,3,2536-31-4,-8.687307872,-7.9,0.787307872
10,4,886-50-0,-6.248018033,-6.8,0.551981967
10,5,60-87-7,-6.55,-8.2,1.65
10,6,83-79-4,-6.473730543,-5.4,1.073730543
10,7,15299-99-7,-6.591753752,-8.2,1.608246248
10,8,33284-53-6,-7.57462234,-6.8,0.77462234
10,9,36653-82-4,-8.188691972,-6.6,1.588691972
10,10,71-55-6,-5.470473704,-3.4,2.070473704
10,11,539-03-7,-7.435264773,-6.2,1.235264773
10,12,21725-46-2,-7.437829505,-7.3,0.137829505
10,13,120-57-0,-4.694943977,-6.5,1.805056023
10,14,544-25-2,-7.008152192,-6,1.008152192
10,15,1982-47-4,-7.495123817,-8.2,0.704876183
10,16,92-52-4,-7.783961629,-7.6,0.183961629
10,17,614-28-8,-6.402475774,-8.7,2.297524226
10,18,68-96-2,-7.827874871,-5.6,2.227874871
10,19,92-94-4,-6.381966404,-9,2.618033596
20,0,120-36-5,-8.009156383,-7.2,0.809156383
20,1,738-70-5,-8.080051453,-6.9,1.180051453
20,2,133-90-4,-6.793908719,-6.7,0.093908719
20,3,111-44-4,-7.790534671,-4.1,3.690534671
20,4,111-13-7,-5.955039014,-5.4,0.555039014
20,5,102-76-1,-7.387823355,-6.4,0.987823355
20,6,75-25-2,-8.434678324,-3,5.434678324
20,7,137-26-8,-6.21727294,-4.1,2.11727294
20,8,29007,-5.67,-4.1,1.57
20,9,77-65-6,-8.217429746,-6,2.217429746
20,10,481-37-8,-7.908074521,-6.4,1.508074521
20,11,123-51-3,-8.880359614,-4.4,4.480359614
20,12,4394-00-7,-6.127274096,-8.5,2.372725904
20,13,21725-46-2,-6.07130091,-7.3,1.22869909
20,14,38380-02-8,-5.461038701,-6.4,0.938961299
20,15,84-69-5,-8.665132049,-9.2,0.534867951
20,16,591-49-1,-5.956269139,-5.9,0.056269139
20,17,5635-50-7,-8.375139395,-9.1,0.724860605
20,18,738-70-5,-7.291952462,-6.9,0.391952462
20,19,14309-40-1,-6.69632679,-7.6,0.90367321
30,0,142-96-1,-7.933807995,-5.6,2.333807995
30,1,71-00-1,-8.259900072,-5.9,2.359900072
30,2,2303-17-5,-7.389331897,-5.7,1.689331897
30,3,103-69-5,-8.922818381,-6.4,2.522818381
30,4,65-71-4,-6.934096895,-6,0.934096895
30,5,37680-65-2,-6.553447837,-7.5,0.946552163
30,6,475-25-2,-8.713051953,-6.8,1.913051953
30,7,120-82-1,-5.394522214,-6,0.605477786
30,8,474-86-2,-8.139735783,-6,2.139735783
30,9,624-24-8,-8.747558906,-5.1,3.647558906
30,10,581-42-0,-6.708131815,-7.3,0.591868185
30,11,52704-70-8,-7.728655365,-4.7,3.028655365
30,12,60-89-9,-8.307772583,-8.7,0.392227417
30,13,378-44-9,-5.648728739,-5.2,0.448728739
30,14,5826-73-3,-7.719039167,-6.9,0.819039167
30,15,939-27-5,-8.711178655,-8.4,0.311178655
30,16,590-36-3,-6.402293131,-4.9,1.502293131
30,17,3424-82-6,-7.863856818,-7.2,0.663856818
30,18,1918-00-9,-7.817146427,-6,1.817146427
30,19,107-02-8,-8.263654344,-3.4,4.863654344
40,0,4911-70-0,-7.897201288,-5.4,2.497201288
40,1,2385-74-2,-7.382329713,-5.5,1.882329713
40,2,1982-47-4,-6.565357447,-8.2,1.634642553
40,3,591-07-1,-6.692959133,-4.8,1.892959133
40,4,109-87-5,-6.59183579,-3,3.59183579
40,5,13476-55-6,-6.724923435,-8,1.275076565
40,6,91-01-0,-8.517791578,-9.7,1.182208422
40,7,33284-53-6,-8.754855066,-6.8,1.954855066
40,8,57-13-6,-8.4088509,-3.5,4.9088509
40,9,1125-84-4,-6.260133239,-5.9,0.360133239
40,10,111-71-7,-7.449795571,-4.9,2.549795571
40,11,34670,-6.301154215,-7.6,1.298845785
40,12,52663-77-1,-6.007832784,-4.6,1.407832784
40,13,557-17-5,-9.551855882,-3.6,5.951855882
40,14,112-38-9,-8.272121718,-6.5,1.772121718
40,15,57-13-6,-6.496419978,-3.5,2.996419978
40,16,96-88-8,-8.458462914,-6.5,1.958462914
40,17,57-63-6,-6.315245599,-6.1,0.215245599
40,18,15862-07-4,-7.635255997,-7.9,0.264744003
40,19,589-82-2,-6.472227045,-5.4,1.072227045
50,0,51940-44-4,-8.098082921,-7.8,0.298082921
50,1,95-47-6,-7.029983237,-6.4,0.629983237
50,2,50-71-5,-6.37070866,-5.7,0.67070866
50,3,103-33-3,-8.40232553,-9,0.59767447
50,4,85-41-6,-8.97451786,-7.6,1.37451786
50,5,78-86-4,-7.059503876,-4,3.059503876
50,6,68-94-0,-8.683223778,-5.8,2.883223778
50,7,475-25-2,-8.605484866,-6.8,1.805484866
50,8,36225,-5.898000458,-6.7,0.801999542
50,9,217-59-4,-7.122373406,-8.5,1.377626594
50,10,3424-82-6,-7.168307404,-7.2,0.031692596
50,11,111-27-3,-7.373500474,-4.9,2.473500474
50,12,122-88-3,-6.562543867,-6.5,0.062543867
50,13,4911-70-0,-8.093350088,-5.4,2.693350088
50,14,514-10-3,-6.77964731,-5.5,1.27964731
50,15,628-41-1,-6.856149681,-5.2,1.656149681
50,16,583-53-9,-6.981203447,-6.1,0.881203447
50,17,76-25-5,-8.575603904,-5.2,3.375603904
50,18,34123-59-6,-6.750395576,-6.7,0.050395576
50,19,3002-23-1,-5.942834954,-5.9,0.042834954