,str_ID,affinity
0,100-41-4,-6.3
1,100-42-5,-6.3
2,100-44-7,-6.0
3,100-46-9,-6.1
4,100-47-0,-6.4
5,100-51-6,-6.2
6,100-52-7,-6.1
7,100-55-0,-5.3
8,100-61-8,-6.0
9,100-63-0,-6.3
10,100-65-2,-6.3
11,100-66-3,-6.0
12,100-68-5,-5.8
13,100-75-4,-5.9
14,10004-44-1,-4.9
15,1002-84-2,-6.9
16,101-21-3,-7.2
17,101-27-9,-7.7
18,101-31-5,-7.9
19,101-42-8,-6.1
20,101-77-9,-8.9
21,101-81-5,-9.3
22,101-84-8,-8.9
23,102-07-8,-9.1
24,102-69-2,-5.3
25,102-76-1,-6.4
26,102-82-9,-6.2
27,102170-44-5,-6.0
28,1022-46-4,-8.7
29,103-29-7,-9.6
30,103-33-3,-9.0
31,103-36-6,-7.3
32,103-65-1,-6.6
33,103-69-5,-6.4
34,103-70-8,-6.2
35,103-73-1,-6.4
36,103-82-2,-6.8
37,103-84-4,-6.4
38,103-85-5,-6.6
39,103-88-8,-5.9
40,103-90-2,-6.6
41,104-46-1,-6.8
42,104-51-8,-7.0
43,104-75-6,-5.3
44,104-76-7,-5.6
45,104-98-3,-5.7
46,105-05-5,-6.8
47,105-30-6,-4.8
48,105-37-3,-4.6
49,105-53-3,-5.6
50,105-54-4,-5.0
51,105-55-5,-4.4
52,105-57-7,-4.5
53,105-66-8,-5.6
54,105-67-9,-6.6
55,106-30-9,-6.0
56,106-32-1,-6.1
57,106-34-3,-8.5
58,106-37-6,-4.9
59,106-38-7,-5.8
60,106-39-8,-5.3
61,106-41-2,-6.0
62,106-42-3,-6.2
63,106-43-4,-6.0
64,106-44-5,-6.2
65,106-46-7,-5.6
66,106-47-8,-5.7
67,106-48-9,-6.0
68,106-49-0,-6.0
69,106-50-3,-5.5
70,106-51-4,-5.8
71,106-55-8,-5.0
72,106-57-0,-4.8
73,106-63-8,-5.5
74,106-70-7,-5.4
75,106-93-4,-3.1
76,106-94-5,-3.5
77,106-95-6,-3.4
78,106-99-0,-3.8
79,107-02-8,-3.4
80,107-04-0,-3.1
81,107-05-1,-3.4
82,107-06-2,-3.0
83,107-08-4,-3.5
84,107-13-1,-3.8
85,107-31-3,-2.8
86,107-82-4,-4.4
87,107-83-5,-4.4
88,107-87-9,-4.5
89,107-92-6,-4.6
90,1077-16-3,-7.8
91,108-08-7,-4.8
92,108-10-1,-5.1
93,108-11-2,-5.0
94,108-20-3,-4.4
95,108-21-4,-4.6
96,108-36-1,-5.6
97,108-37-2,-5.6
98,108-38-3,-6.1
99,108-39-4,-6.2
100,108-42-9,-5.9
101,108-43-0,-6.0
102,108-44-1,-6.1
103,108-46-3,-5.6
104,108-47-4,-5.7
105,108-48-5,-5.6
106,108-67-8,-6.4
107,108-68-9,-6.4
108,108-70-3,-5.7
109,108-85-0,-4.7
110,108-86-1,-5.8
111,108-87-2,-5.8
112,108-88-3,-5.8
113,108-90-7,-5.7
114,108-93-0,-5.4
115,108-94-1,-5.8
116,108-95-2,-5.7
117,108-98-5,-5.4
118,109-00-2,-4.9
119,109-02-4,-4.1
120,109-07-9,-4.4
121,109-60-4,-4.7
122,109-64-8,-3.7
123,109-65-9,-4.0
124,109-66-0,-4.2
125,109-67-1,-4.2
126,109-69-3,-4.0
127,109-70-6,-3.6
128,109-79-5,-3.8
129,109-87-5,-3.0
130,109-92-2,-3.5
131,109-94-4,-3.6
132,109-97-7,-4.1
133,109-99-9,-4.0
134,110-00-9,-4.1
135,110-02-1,-4.0
136,110-12-3,-5.1
137,110-15-6,-4.6
138,110-38-3,-6.2
139,110-42-9,-6.5
140,110-43-0,-5.3
141,110-44-1,-5.4
142,110-53-2,-4.5
143,110-54-3,-4.5
144,110-62-3,-4.6
145,110-74-7,-4.1
146,110-82-7,-5.2
147,110-83-8,-5.2
148,110-85-0,-3.7
149,110-86-1,-4.7
150,110-89-4,-4.7
151,110-91-8,-3.7
152,110-94-1,-5.1
153,1107-99-9,-5.8
154,111-11-5,-5.9
155,111-13-7,-5.4
156,111-25-1,-4.7
157,111-26-2,-4.8
158,111-27-3,-4.9
159,111-43-3,-4.4
160,111-44-4,-4.1
161,111-65-9,-5.2
162,111-66-0,-5.3
163,111-68-2,-5.0
164,111-70-6,-5.0
165,111-71-7,-4.9
166,111-76-2,-4.9
167,111-82-0,-6.4
168,111-83-1,-5.5
169,111-86-4,-5.3
170,111-87-5,-5.4
171,111-92-2,-5.5
172,1114-71-2,-6.0
173,112-05-0,-6.1
174,112-30-1,-6.1
175,112-37-8,-6.6
176,112-38-9,-6.5
177,112-53-8,-6.3
178,112-72-1,-6.4
179,1125-78-6,-7.8
180,1125-84-4,-5.9
181,1127-76-0,-8.6
182,1129-41-5,-7.3
183,1134-23-2,-6.5
184,114-26-1,-7.7
185,115-43-5,-8.4
186,117-34-0,-9.7
187,117-81-7,-8.0
188,117-89-5,-9.3
189,1177-87-3,-5.1
190,118-08-1,-5.2
191,118-10-5,-6.4
192,118-52-5,-6.1
193,118-55-8,10.0
194,118-90-1,-7.1
195,118-91-2,-6.8
196,118-92-3,-6.8
197,1185-33-7,-4.5
198,119-36-8,-6.9
199,119-61-9,-9.9
200,119-65-3,-7.2
201,119-68-6,-6.7
202,119-91-5,10.1
203,1194-65-6,-6.3
204,1198-37-4,-8.1
205,120-07-0,-6.7
206,120-12-7,-7.8
207,120-36-5,-7.2
208,120-47-8,-7.1
209,120-57-0,-6.5
210,120-72-9,-6.8
211,120-80-9,-5.8
212,120-82-1,-6.0
213,120-83-2,-6.0
214,120-89-8,-5.0
215,121-34-6,-6.4
216,121-44-8,-4.1
217,121-69-7,-6.2
218,121-79-9,-7.2
219,121-98-2,-6.5
220,122-15-6,-6.7
221,122-34-9,-6.7
222,122-39-4,-9.0
223,122-59-8,-6.7
224,122-66-7,-9.2
225,122-80-5,-6.4
226,122-85-0,-6.8
227,122-88-3,-6.5
228,122-97-4,-6.7
229,122-99-6,-6.3
230,123-08-0,-6.2
231,123-11-5,-6.1
232,123-19-3,-5.3
233,123-25-1,-5.7
234,123-29-5,-6.5
235,123-30-8,-5.7
236,123-31-9,-5.7
237,123-38-6,-3.5
238,123-51-3,-4.4
239,123-54-6,-4.6
240,123-56-8,-4.8
241,123-66-0,-5.7
242,123-72-8,-4.2
243,123-75-1,-4.0
244,123-86-4,-5.2
245,123-92-2,-5.5
246,123-96-6,-5.5
247,123-99-9,-6.4
248,124-04-9,-5.3
249,124-07-2,-5.8
250,124-11-8,-5.6
251,124-13-0,-5.5
252,124-19-6,-5.8
253,124-48-1,-3.3
254,124-83-4,-5.8
255,124-94-7,-5.2
256,125-33-7,-8.9
257,126-07-8,-4.7
258,127-07-1,-4.1
259,127-18-4,-4.3
260,127-19-5,-3.9
261,127-31-1,-5.1
262,127-33-3,-4.8
263,12771-68-5,-8.6
264,128-13-2,-5.3
265,128-62-1,-5.0
266,129-00-0,-7.5
267,129-20-4,-8.9
268,130-95-0,-4.9
269,13029-08-8,-7.3
270,131-11-3,-7.3
271,131-17-9,-8.4
272,13110-37-7,-8.1
273,132-64-9,-7.4
274,132-65-0,-7.1
275,133-90-4,-6.7
276,133-91-5,-6.4
277,134-32-7,-7.8
278,13476-55-6,-8.0
279,135-19-3,-8.1
280,135-98-8,-7.2
281,136-60-7,-7.9
282,136-77-6,-8.1
283,13698-49-2,-5.9
284,137-26-8,-4.1
285,137-32-6,-4.3
286,137-58-6,-6.8
287,138-52-3,-5.5
288,139-40-2,-7.1
289,13993-65-2,-9.7
290,140-67-0,-6.5
291,140-88-5,-4.6
292,14073-97-3,-6.4
293,14090-87-0,-5.9
294,141-76-4,-4.0
295,141-78-6,-4.0
296,141-84-4,-4.2
297,141-90-2,-4.9
298,142-28-9,-3.6
299,142-29-0,-4.8
300,142-62-1,-5.3
301,142-68-7,-4.6
302,142-82-5,-4.8
303,142-84-7,-4.4
304,142-92-7,-5.7
305,142-96-1,-5.6
306,14214-32-5,-8.0
307,143-07-7,-6.5
308,143-08-8,-5.9
309,14309-40-1,-7.6
310,14309-41-2,-7.7
311,144-62-7,-4.4
312,14437-17-3,-7.1
313,145-13-1,-5.7
314,146-54-3,-9.3
315,14686-13-6,-5.0
316,148-24-3,-7.5
317,149-30-4,-6.2
318,149-32-6,-4.5
319,149-91-7,-6.3
320,150-13-0,-6.3
321,150-68-5,-6.2
322,150-69-6,-6.5
323,151-67-7,-4.9
324,15258-73-8,-6.1
325,15271-41-7,-7.8
326,15299-99-7,-8.2
327,15310-01-7,-8.2
328,1540-35-8,-5.6
329,15414-82-1,-5.3
330,156-59-2,-3.1
331,15687-27-1,-7.9
332,15862-07-4,-7.9
333,15879-93-3,-6.1
334,1596-84-5,-5.5
335,15968-05-5,-4.4
336,15972-60-8,-5.0
337,16118-49-3,-8.5
338,1629-60-3,-4.9
339,1634-04-4,-3.8
340,16529-66-1,-4.7
341,16606-02-3,-7.5
342,1668-19-5,10.4
343,1678-91-7,-6.1
344,16878-76-5,-5.6
345,16878-77-6,-5.7
346,1689-83-4,-6.6
347,1689-84-5,-6.7
348,1698-60-8,-7.0
349,1730-37-6,-8.3
350,1732-13-4,-7.1
351,1746-81-2,-6.2
352,18181-80-1,-7.1
353,18259-05-7,-4.6
354,18559-94-9,-6.9
355,1897-45-6,-5.0
356,191-24-2,-6.7
357,1912-26-1,-6.9
358,1918-00-9,-6.0
359,1918-02-1,-5.6
360,1918-16-7,-6.1
361,192-97-2,-7.1
362,1929-82-4,-6.2
363,19550-30-2,-4.7
364,19666-30-9,-8.1
365,198-55-0,-7.2
366,1982-47-4,-8.2
367,1982-49-6,-9.4
368,1982-55-4,-5.7
369,2008-41-5,-5.9
370,20168-99-4,-7.8
371,2029-64-3,-6.0
372,2032-59-9,-6.6
373,20354-26-1,-7.3
374,2040-96-2,-6.0
375,204443-27-6,-6.0
376,204443-30-1,-5.8
377,2049-95-8,-7.7
378,205-82-3,-7.0
379,205-99-2,-7.8
380,2050-67-1,-6.9
381,2050-68-2,-7.0
382,2051-24-3,-4.6
383,2051-60-7,-8.0
384,2051-61-8,-7.7
385,2051-62-9,-7.6
386,206-44-0,-8.8
387,207-08-9,-9.6
388,208-96-8,-7.8
389,2114-15-0,-4.8
390,2114-20-7,-5.5
391,2131-41-1,-7.4
392,2136-99-4,-4.5
393,2152-44-5,-4.7
394,2163-69-1,-7.5
395,2164-17-2,-7.6
396,217-59-4,-8.5
397,21725-46-2,-7.3
398,218-01-9,-7.6
399,2188-67-2,-7.7
400,2207-01-4,-6.0
401,22071-15-4,-9.4
402,22204-53-1,-6.8
403,22259-30-9,-7.0
404,2235-90-7,-8.4
405,2244-16-8,-7.2
406,22862-76-6,-6.8
407,229-87-8,-7.9
408,230-46-6,-7.4
409,2303-16-4,-5.7
410,2303-17-5,-5.7
411,23103-98-2,-7.5
412,2315-68-6,-7.5
413,23184-66-9,-3.9
414,2367-82-0,-6.5
415,2370-12-9,-5.0
416,238-84-6,-7.8
417,2385-74-2,-5.5
418,239-64-5,-8.7
419,23947-60-6,-6.9
420,243-17-4,-8.4
421,2432-20-4,-5.8
422,2432-21-5,-6.4
423,2432-99-7,-6.2
424,2437-79-8,-6.9
425,2460-49-3,-6.0
426,24691-76-7,-7.5
427,24691-80-3,-7.2
428,2536-31-4,-7.9
429,2539-17-5,-4.8
430,260-94-6,-7.2
431,26002-80-2,-9.3
432,262-12-4,-6.6
433,2622-26-6,-8.3
434,2623-33-8,-6.8
435,2642-98-0,-6.2
436,2655-19-8,-6.7
437,26644-46-2,-4.3
438,271-44-3,-6.9
439,27134-24-3,-9.9
440,273-53-0,-6.6
441,27314-13-2,-7.6
442,27541-88-4,-7.6
443,28299-41-4,-7.9
444,287-92-3,-4.7
445,28805-78-9,-5.3
446,289-80-5,-4.4
447,289-95-2,-4.1
448,28911-01-5,-5.4
449,291-64-5,-5.8
450,292-64-8,-5.7
451,2939-80-2,-5.3
452,2974-92-7,-7.6
453,298-81-7,-7.2
454,29883-15-6,-5.1
455,299-42-3,-7.1
456,29973-13-5,-7.4
457,3002-23-1,-5.9
458,3042-84-0,-6.7
459,30564-38-6,-6.2
460,30979-48-7,-7.0
461,3121-79-7,-4.8
462,3124-46-7,-5.2
463,31251-03-3,-5.9
464,31367-46-1,-5.6
465,31431-39-7,10.0
466,315-30-0,-5.7
467,31508-00-6,-6.7
468,319-86-8,-3.5
469,3248-05-3,-6.4
470,32598-10-0,-6.4
471,32598-11-1,-7.3
472,327-54-8,-6.5
473,330-55-2,-6.0
474,33089-61-1,-6.3
475,33146-45-1,-6.1
476,33284-50-3,-7.8
477,33284-53-6,-6.8
478,334-48-5,-6.2
479,3380-34-5,-7.0
480,33979-03-2,-4.8
481,34123-59-6,-6.7
482,3424-82-6,-7.2
483,3452-09-3,-6.0
484,34883-43-7,-8.0
485,3495-42-9,-5.5
486,35065-27-1,-5.6
487,35065-28-2,-5.8
488,351-83-7,-6.8
489,352-11-4,-6.2
490,352-34-1,-5.8
491,352-97-6,-4.5
492,35367-38-5,10.4
493,35693-92-6,-5.8
494,35693-99-3,-7.5
495,35694-08-7,-4.8
496,357-57-3,-5.8
497,3625-25-0,-7.6
498,36330-85-5,-8.3
499,36378-49-1,-5.8
500,364-62-5,-6.9
501,366-18-7,-7.0
502,36653-82-4,-6.6
503,372-18-9,-6.0
504,374-01-6,-5.0
505,37517-28-5,-3.7
506,3766-60-7,-7.3
507,37680-65-2,-7.5
508,37764-25-3,-5.8
509,378-44-9,-5.2
510,3813-05-6,-6.1
511,382-45-6,-5.7
512,38380-02-8,-6.4
513,38380-07-3,-4.9
514,38380-08-4,-7.3
515,38411-22-2,-4.6
516,38444-81-4,-7.4
517,38444-85-8,-7.1
518,38444-86-9,-8.1
519,38444-93-8,-5.7
520,389-08-2,-7.1
521,39196-18-4,-6.2
522,3970-62-5,-5.1
523,40186-72-9,-4.7
524,40596-69-8,-7.9
525,41464-39-5,-6.5
526,41464-40-8,-7.6
527,41464-41-9,-6.5
528,4170-30-3,-4.3
529,41814-78-2,-6.8
530,4248-19-5,-4.8
531,4248-20-8,-5.9
532,426-13-1,-5.4
533,4282-40-0,-5.1
534,43121-43-3,-6.3
535,433-97-6,-7.8
536,434-03-7,-6.1
537,437-50-3,-6.1
538,4394-00-7,-8.5
539,4396-01-4,-6.0
540,4516-69-2,-5.6
541,453-20-3,-3.9
542,458-88-8,-6.2
543,461-58-5,-4.2
544,461-72-3,-4.5
545,461-98-3,-5.6
546,462-06-6,-5.6
547,464-07-3,-4.7
548,467-98-1,-5.0
549,470-82-6,-5.3
550,474-25-9,-5.1
551,474-86-2,-6.0
552,475-25-2,-6.8
553,475-31-0,-5.2
554,479-18-5,-6.3
555,480-16-0,-9.0
556,481-06-1,-6.4
557,481-29-8,-5.6
558,481-37-8,-6.4
559,482-05-3,-6.3
560,484-12-8,-6.8
561,4849-32-5,-7.3
562,485-35-8,-7.2
563,485-65-4,-6.7
564,485-71-2,-6.6
565,486-64-6,-6.7
566,488-73-3,-5.3
567,4911-70-0,-5.4
